link,listing_title,listing_mileage,primary_price,deal_gauge,exterior_color,interior_color,drivetrain,mpg,fuel_type,transmission,engine,vin,stock_number,vehicle_history,seller_name,price_history
https://www.cars.com/vehicledetail/d8b757f2-d13d-42aa-8d20-36e9869ab076/,2020 Toyota Tacoma SR,"48,838 mi.","$33,097",Good Deal -$133 under,White,Cement,Four-wheel Drive,18–22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TMCZ5AN6LM362541,R66071,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Arapahoe KIA,"[('9/13/23', 'Listed', '$34,998'), ('10/17/23', '-$1,466', '$33,532'), ('11/10/23', '-$435', '$33,097')]"
https://www.cars.com/vehicledetail/5fc1e6d3-6425-4393-a244-2ea73f9a6c10/,2022 Chevrolet Corvette Stingray w/2LT,"1,601 mi.","$84,998","Great Deal $3,046 under",Red,Black,Rear-wheel Drive,–,Gasoline,Automatic,6.2L V8 16V GDI OHV,1G1YB2D4XN5103189,21289037,"{'Accidents or damage': 'None reported', 'Clean title': 'Yes', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",CarMax South Broadway - Offering Express Pickup and Home Delivery,"[('8/24/23', 'Listed', '$99,998'), ('8/29/23', '-$1,000', '$98,998'), ('9/01/23', '-$1,000', '$97,998'), ('9/07/23', '-$1,000', '$96,998'), ('9/13/23', '-$1,000', '$95,998'), ('9/21/23', '-$1,000', '$94,998'), ('9/29/23', '-$1,000', '$93,998'), ('10/10/23', '-$1,000', '$92,998'), ('10/13/23', '-$1,000', '$91,998'), ('10/17/23', '-$2,000', '$89,998'), ('10/23/23', '-$1,000', '$88,998'), ('10/26/23', '-$1,000', '$87,998'), ('10/30/23', '-$1,000', '$86,998'), ('11/02/23', '-$1,000', '$85,998'), ('11/07/23', '-$1,000', '$84,998')]"
https://www.cars.com/vehicledetail/0690fdd7-7a71-40c8-8b5e-e52260880e22/,2015 Honda Accord LX,"77,705 mi.","$14,990",Great Deal $802 under,–,–,Front-wheel Drive,27–36,Gasoline,Automatic,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",1HGCR2F38FA169333,169333,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",King Auto,"[('9/13/23', 'Listed', '$15,990'), ('10/14/23', '-$290', '$15,700'), ('10/27/23', '-$200', '$15,500'), ('10/29/23', '-$510', '$14,990')]"
https://www.cars.com/vehicledetail/1fce88f3-0222-4b12-985f-9e54b215c0ad/,2015 Subaru Outback 3.6R Limited,"107,225 mi.","$14,990","Great Deal $1,347 under",–,–,All-wheel Drive,20–27,Gasoline,Automatic,"3.6L H-6 DOHC, variable valve control, regular unleaded, engine",4S4BSELC4F3333097,333097,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",King Auto,"[('9/13/23', 'Listed', '$15,900'), ('10/14/23', '-$200', '$15,700'), ('10/29/23', '-$200', '$15,500'), ('11/07/23', '-$510', '$14,990')]"
https://www.cars.com/vehicledetail/2449b214-0067-4146-aa6a-a58caa061188/,2020 Kia Niro LX,"25,030 mi.","$17,500",,–,–,Front-wheel Drive,51–49,Gasoline,Automatic,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",KNDCB3LC0L5369561,24462,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'No', 'Open recall': 'At least 1 open recall reported'}",King Auto,"[('9/13/23', 'Listed', '$18,900'), ('9/14/23', '-$1,000', '$17,900'), ('10/29/23', '-$400', '$17,500')]"
https://www.cars.com/vehicledetail/0c97068b-d392-4f3f-ac15-32e70eb6fcde/,2016 INFINITI QX70 Base,"48,265 mi.","$19,900",,–,–,All-wheel Drive,16–22,Gasoline,Automatic,"VQ 3.7L V-6 VVEL DOHC, variable valve control, premium unleaded,",JN8CS1MW2GM751846,751846,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",King Auto,"[('9/13/23', 'Listed', '$21,900'), ('10/02/23', '-$910', '$20,990'), ('10/12/23', '-$1,090', '$19,900')]"
https://www.cars.com/vehicledetail/1cd7b9bc-e414-4bff-a63d-348be85997c8/,2022 Nissan Pathfinder SV 4WD,"23,699 mi.","$33,900",This is a good deal.,–,–,Four-wheel Drive,21–27,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, DOHC, variable valve control",5N1DR3BC4NC221974,221974,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",King Auto,[]
https://www.cars.com/vehicledetail/3901b10e-ab45-42fc-864f-0851a705864c/,2015 Jeep Wrangler Unlimited Sahara,"130,109 mi.","$23,900",This is a fair deal. Why?,–,–,Four-wheel Drive,16–20,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, regular unleaded, engine",1C4BJWEG5FL567830,567830,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",King Auto,"[('9/13/23', 'Listed', '$24,990'), ('10/29/23', '-$1,090', '$23,900')]"
https://www.cars.com/vehicledetail/5a4a7871-1fd6-4f88-a66f-a4fa1f8e948e/,2016 Nissan Frontier PRO-4X,"68,030 mi.","$19,990",,–,Graphite/White Stitching,Four-wheel Drive,16–21,Gasoline,Manual,"VQ 4L V-6 DOHC, variable valve control, regular unleaded, engine",1N6AD0EV4GN759211,759211,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",King Auto,"[('9/13/23', 'Listed', '$21,900'), ('9/21/23', '-$1,000', '$20,900'), ('10/27/23', '-$910', '$19,990')]"
https://www.cars.com/vehicledetail/1dc9f8e8-532e-4c4a-828b-6518aa91f063/,2017 Mercedes-Benz AMG G 63 4MATIC,"59,902 mi.","$89,990",,–,–,All-wheel Drive,12–14,Gasoline,Automatic,"AMG 5.5L V-8 gasoline direct injection, DOHC, variable valve con",WDCYC7DF9HX268978,57384,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",King Auto,[]
https://www.cars.com/vehicledetail/45a36cf7-77c4-4b3e-a3c6-ae1f832f61c9/,2015 Toyota Tacoma TRD Pro,"67,605 mi.","$24,900",,–,Graphite,Four-wheel Drive,16–21,Gasoline,Automatic,"4L V-6 DOHC, VVT-i variable valve control, regular unleaded, eng",5TFUU4EN1FX111531,111531,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",King Auto,"[('9/13/23', 'Listed', '$25,900'), ('9/21/23', '-$1,000', '$24,900')]"
https://www.cars.com/vehicledetail/6b121626-c8be-4c33-809b-f46fe901851c/,2004 Chevrolet Express 2500 Base,"33,082 mi.","$19,900","Great Deal $1,096 under",–,–,Rear-wheel Drive,0–0,Gasoline,Automatic,"Vortec 4.8L V-8 regular unleaded, engine with 275HP",1GCGG25V641174214,174214,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",King Auto,"[('9/13/23', 'Listed', '$22,900'), ('9/14/23', '-$3,000', '$19,900')]"
https://www.cars.com/vehicledetail/e4516200-1b18-41ac-b3ec-0ad093878189/,2017 Lexus RX 350 F Sport,"71,476 mi.","$32,900",This is a good deal.,–,–,All-wheel Drive,19–26,Gasoline,Automatic,"3.5L V-6 DOHC, VVT-iW variable valve control, regular unleaded,",2T2BZMCA5HC079205,079205,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",King Auto,"[('9/13/23', 'Listed', '$35,900'), ('9/21/23', '-$910', '$34,990'), ('10/02/23', '-$1,000', '$33,990'), ('10/29/23', '-$1,090', '$32,900')]"
https://www.cars.com/vehicledetail/fb03f297-0e73-449f-91ad-fb1a9e44f292/,2013 Ford F-150 STX,"166,791 mi.","$15,900",This is a fair deal. Why?,–,Steel Grey,Four-wheel Drive,14–19,Gasoline,Automatic,"5L V-8 DOHC, variable valve control, regular unleaded, engine wi",1FTFX1EF2DFC63442,6877,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",King Auto,[]
