link,listing_title,listing_mileage,primary_price,deal_gauge,exterior_color,interior_color,drivetrain,mpg,fuel_type,transmission,engine,vin,stock_number,vehicle_history,seller_name,price_history,Cylinders,Liters,Boosted
https://www.cars.com/vehicledetail/d7edb897-162d-46e6-8e47-1b635b50c7bb/,2012 Ford Escape XLT,"156,876 mi.","$9,195",This is a fair deal. Why?,White,-,Four-wheel Drive,20-27,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,1FMCU9D73CKA84090,37330,"{'Accidents or damage': 'At least 1 accident or damage reported', 'Clean title': 'Yes', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}","Lakewood Happy Motors, Inc.","[('9/01/23', 'Listed', '$9,095'), ('10/11/23', '+$100', '$9,195')]",4,2.5,False
https://www.cars.com/vehicledetail/2761dd49-64f9-4c28-afee-b67e741132f6/,2007 Toyota Camry LE,"153,746 mi.","$9,995",This is a fair deal. Why?,Red,Graphite,Front-wheel Drive,24-33,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,4T1BE46K57U009155,37322,"{'Accidents or damage': 'At least 1 accident or damage reported', 'Clean title': 'Yes', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}","Lakewood Happy Motors, Inc.","[('9/07/23', 'Listed', '$9,895'), ('9/15/23', '+$100', '$9,995')]",4,2.4,False
https://www.cars.com/vehicledetail/66a66b94-1a69-411f-b545-33e1df824301/,2022 Mercedes-Benz A-Class A 220 4MATIC,"2,988 mi.","$33,887",Good Deal $726 under,Cosmos Black Metallic,Macchiato Beige,All-wheel Drive,25-35,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1K3G4FB0NJ352902,MSSS221565,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Jaguar Lakewood,"[('9/07/23', 'Listed', '$36,899'), ('9/14/23', '-$133', '$36,766'), ('9/27/23', '-$892', '$35,874'), ('10/05/23', '-$313', '$35,561'), ('10/24/23', '-$566', '$34,995'), ('10/27/23', '-$1,063', '$33,932'), ('11/02/23', '+$1,025', '$34,957'), ('11/08/23', '-$1,042', '$33,915')]",4,2.0,True
https://www.cars.com/vehicledetail/f9e2d384-ec32-4737-a1f8-ae21da9c39c8/,2010 Audi A4 2.0T Premium,"167,279 mi.","$5,988",Great Deal $819 under,Quartz Gray Metallic,Black,Front-wheel Drive,23-30,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC Turbo,WAUAFAFLXAN015116,12660,"{'Accidents or damage': 'At least 1 accident or damage reported', 'Clean title': 'Yes', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Econo Auto Sales Inc,[],4,2.0,True
https://www.cars.com/vehicledetail/2a7d052c-57fc-408b-97e8-d58565022550/,2008 Nissan Versa S,"137,399 mi.","$6,487",This is a fair deal. Why?,Fresh Powder,-,Front-wheel Drive,24-32,Gasoline,4-Speed Automatic,1.8L I4 16V MPFI DOHC,3N1BC11E48L396922,S59909,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",The Sharpest Rides,"[('8/29/23', 'Listed', '$7,487'), ('10/27/23', '-$1,000', '$6,487')]",4,1.8,False
https://www.cars.com/vehicledetail/ed215dcb-9df9-4683-a043-9a4d53dc6d2b/,2023 Kia Sorento SX,"7,278 mi.","$37,956",Good Deal $515 under,Everlasting Silver,Black,All-wheel Drive,22-27,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5XYRKDLFXPG177670,177670,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'No', 'Open recall': 'At least 1 open recall reported'}",Emich KIA,"[('8/29/23', 'Listed', '$38,609'), ('8/31/23', '+$1,890', '$40,499'), ('9/21/23', '-$503', '$39,996'), ('9/26/23', '-$288', '$39,708'), ('10/04/23', '-$287', '$39,421'), ('10/11/23', '-$613', '$38,808'), ('10/18/23', '-$410', '$38,398'), ('10/25/23', '-$399', '$37,999')]",4,2.5,True
https://www.cars.com/vehicledetail/664103b7-4417-4e43-afec-045f4518cc2f/,2010 Jeep Patriot Sport,"168,420 mi.","$8,295",,Brilliant Black Crystal Pearl,Dark Slate Gray,Four-wheel Drive,23-28,Gasoline,Automatic CVT,2.4L I4 16V MPFI DOHC,1J4NF2GBXAD529046,37311,"{'Accidents or damage': 'At least 1 accident or damage reported', 'Clean title': 'Yes', '1-owner vehicle': 'No', 'Personal use only': 'No'}","Lakewood Happy Motors, Inc.",[],4,2.4,False
https://www.cars.com/vehicledetail/5adc9184-674a-4603-ac33-82d04efb1d25/,2008 Jeep Patriot Limited,"163,032 mi.","$9,195",,Brilliant Black Crystal Pearl,Dark Slate Gray,-,22-27,Gasoline,Automatic CVT,2.4L I4 16V MPFI DOHC,1J8FF48WX8D541241,37317,"{'Accidents or damage': 'None reported', 'Clean title': 'Yes', '1-owner vehicle': 'No', 'Personal use only': 'No'}","Lakewood Happy Motors, Inc.","[('9/07/23', 'Listed', '$8,795'), ('9/17/23', '+$100', '$8,895'), ('11/09/23', '+$300', '$9,195')]",4,2.4,False
https://www.cars.com/vehicledetail/00bbcf2a-bf2b-4cc3-a906-e02069ccf741/,2021 Toyota Camry LE,"74,510 mi.","$21,487",This is a good deal.,White,Black,Front-wheel Drive,28-39,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1C11AK4MU430964,S59914,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",The Sharpest Rides,"[('9/20/23', 'Listed', '$23,487'), ('10/04/23', '-$1,000', '$22,487'), ('11/05/23', '-$1,000', '$21,487')]",4,2.5,False
https://www.cars.com/vehicledetail/def2a38f-9f73-447d-a636-424e005b0b29/,2018 Ford F-150 XLT,"53,450 mi.","$29,998",Good Deal -$270 under,Oxford White,Medium Earth Gray,Rear-wheel Drive,20,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1CPXJKD03487,JKD03487,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",AutoNation Toyota Arapahoe,"[('8/29/23', 'Listed', '$32,698'), ('10/06/23', '-$1,000', '$31,698'), ('10/20/23', '-$1,000', '$30,698'), ('10/27/23', '-$1,305', '$29,393'), ('10/30/23', '+$1,305', '$30,698'), ('11/10/23', '-$700', '$29,998')]",6,2.7,True
https://www.cars.com/vehicledetail/05d8f66f-057c-4efd-b5ec-5a2aec77ca8e/,2020 Honda Pilot EX-L,"66,630 mi.","$26,301","Great Deal $1,269 under",Deep Scarlet Pearl,Beige,All-wheel Drive,18-26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H58LB028901,SJLP200025,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Arapahoe Hyundai,"[('8/29/23', 'Listed', '$30,801'), ('9/10/23', '-$700', '$30,101'), ('9/20/23', '-$200', '$29,901'), ('9/28/23', '-$200', '$29,701'), ('10/06/23', '-$800', '$28,901'), ('10/18/23', '-$1,300', '$27,601'), ('10/26/23', '-$1,000', '$26,601'), ('11/06/23', '-$300', '$26,301')]",6,3.5,False
https://www.cars.com/vehicledetail/224eadbf-cfc2-4255-adf7-daeb0a11fdfc/,2021 Chevrolet Colorado ZR2,"24,915 mi.","$41,227",This is a good deal.,Satin Steel Metallic,Jet Black,Four-wheel Drive,16-18,Gasoline,Automatic,3.6L V6 24V GDI DOHC,1GCGTEEN9M1142449,P59491,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Arapahoe KIA,"[('10/11/23', 'Listed', '$41,729'), ('11/10/23', '-$502', '$41,227')]",6,3.6,False
